shot_num,quarter,game_clock,time_elapsed_s,shot_clock,shooter_name,shooter_team,shooter_player_id,shot_type,zone,shot_quality,nearest_def_dist,ball_x,ball_y,ball_z_at_release,shooter_x,shooter_y
1,1,Q1 11:45.45,14.55,8.75,Thaddeus Young,BKN,201152,dunk,low_paint,7.5847,2.511,85.718,23.599,7.058,86.582,22.601
2,1,Q1 11:16.69,43.31,8.29,Thaddeus Young,BKN,201152,2pt_jump_shot,straight_up_2,4.0,8.934,67.885,25.55,7.431,68.098,25.223
3,1,Q1 10:47.43,72.57,9.49,Brook Lopez,BKN,201572,2pt_jump_shot,baseline_2,2.7302,3.237,84.791,33.91,8.573,85.405,33.224
4,1,Q1 10:31.39,88.61,23.96,Isaiah Thomas,BOS,202738,2pt_jump_shot,wing_2,1.0,9.215,26.765,16.598,7.168,26.856,16.584
5,1,Q1 10:06.43,113.57,8.51,Jae Crowder,BOS,203109,2pt_jump_shot,wing_2,1.0,6.555,18.655,12.273,7.08,18.398,12.176
6,1,Q1 10:00.27,119.73,20.17,Bojan Bogdanovic,BKN,202711,layup,low_paint,9.4685,5.618,88.137,23.187,7.747,87.41,24.43
7,1,Q1 9:44.67,135.33,8.54,Isaiah Thomas,BOS,202738,2pt_jump_shot,wing_2,1.0,10.459,18.306,9.549,7.253,18.042,9.445
8,1,Q1 9:21.86,158.14,3.41,Brook Lopez,BKN,201572,2pt_jump_shot,low_paint,7.275,0.336,87.216,31.574,8.579,86.803,30.41
9,1,Q1 9:09.50,170.5,14.91,Avery Bradley,BOS,202340,2pt_jump_shot,wing_2,0.9667,5.468,23.829,33.715,7.152,24.312,33.741
10,1,Q1 8:50.52,189.48,15.32,Avery Bradley,BOS,202340,2pt_jump_shot,wing_2,0.8585,3.737,21.345,39.661,7.419,21.746,39.859
11,1,Q1 8:32.84,207.16,11.76,Thaddeus Young,BKN,201152,layup,low_paint,8.0519,3.282,90.295,27.788,7.064,90.298,27.326
12,1,Q1 8:25.00,215.0,24.0,Jae Crowder,BOS,203109,2pt_jump_shot,straight_up_2,4.0,11.262,19.819,25.695,7.181,20.15,25.365
13,1,Q1 7:54.10,245.9,11.27,Jae Crowder,BOS,203109,layup,low_paint,8.1489,3.442,8.759,19.893,7.208,10.136,19.839
14,1,Q1 7:35.41,264.59,10.67,Brook Lopez,BKN,201572,2pt_jump_shot,straight_up_2,4.0,6.286,70.525,29.37,7.109,70.308,29.768
15,1,Q1 7:10.89,289.11,17.27,Brook Lopez,BKN,201572,layup,low_paint,9.3876,5.485,85.112,29.598,8.561,84.818,29.087
16,1,Q1 7:09.68,290.32,16.07,Brook Lopez,BKN,201572,layup,low_paint,7.275,1.635,87.453,28.852,8.321,86.232,27.991
17,1,Q1 7:09.00,291.0,24.0,Brook Lopez,BKN,201572,2pt_jump_shot,straight_up_2,4.0,11.286,74.323,25.036,7.057,74.125,25.148
18,1,Q1 6:52.47,307.53,7.03,Jared Sullinger,BOS,203096,layup,low_paint,7.275,1.577,4.496,22.794,7.183,5.401,23.94
19,1,Q1 6:51.31,308.69,5.87,Jared Sullinger,BOS,203096,layup,low_paint,7.275,1.453,4.636,22.878,7.763,5.462,22.877
20,1,Q1 6:29.76,330.24,5.91,Bojan Bogdanovic,BKN,202711,2pt_jump_shot,baseline_2,3.1086,5.072,88.035,48.13,7.284,88.151,48.535
21,1,Q1 6:23.94,336.06,20.57,Isaiah Thomas,BOS,202738,3pt_jump_shot,wing_3,4.5,7.617,27.12,12.427,7.293,26.9,12.552
22,1,Q1 6:02.75,357.25,7.47,Joe Johnson,BKN,2207,3pt_jump_shot,corner_3,9.3701,4.992,81.459,47.552,7.205,82.123,47.867
23,1,Q1 5:52.35,367.65,18.11,Jae Crowder,BOS,203109,3pt_jump_shot,straight_up_3,7.3212,5.619,30.234,19.526,7.186,30.039,19.621
24,1,Q1 5:36.78,383.22,12.6,Joe Johnson,BKN,2207,2pt_jump_shot,baseline_2,3.2565,5.789,82.491,4.923,7.033,81.98,4.945
25,1,Q1 5:24.74,395.26,24.0,Amir Johnson,BOS,101161,layup,low_paint,8.2768,3.652,5.985,23.336,10.805,7.048,22.343
